cycle,row_hit,row_miss
603800,0,0
603900,0,0
604000,0,0
604100,0,0
604200,17,4
604300,20,4
604400,20,4
604500,20,4
604600,28,4
604700,28,4
604800,28,4
604900,35,4
605000,36,4
605100,36,4
605200,40,4
605300,44,4
605400,44,4
605500,44,4
605600,52,4
605700,52,4
605800,52,4
605900,60,4
606000,60,4
606100,60,4
606200,64,4
606300,68,4
606400,68,4
606500,72,4
606600,76,4
606700,76,4
606800,76,4
606900,79,6
607000,82,6
607100,82,6
607200,86,6
607300,90,6
607400,90,6
607500,90,6
607600,98,6
607700,98,6
607800,98,6
607900,106,6
608000,106,6
608100,106,6
608200,110,6
608300,114,6
608400,114,6
608500,117,6
608600,122,6
608700,122,6
608800,122,6
608900,130,6
609000,130,6
609100,130,6
609200,134,6
609300,138,6
609400,138,6
609500,138,6
609600,144,8
609700,144,8
609800,144,8
609900,148,8
610000,152,8
610100,152,8
610200,156,8
610300,160,8
610400,160,8
610500,160,8
610600,168,8
610700,168,8
610800,168,8
610900,176,8
611000,176,8
611100,176,8
611200,180,8
611300,184,8
611400,184,8
611500,186,8
611600,192,8
611700,192,8
611800,192,8
611900,200,8
612000,200,8
612100,200,8
612200,203,9
612300,206,10
612400,206,10
612500,206,10
612600,214,10
612700,214,10
612800,214,10
612900,218,10
613000,222,10
613100,222,10
613200,226,10
613300,230,10
613400,230,10
613500,230,10
613600,238,10
613700,238,10
613800,238,10
613900,246,10
614000,246,10
614100,246,10
614200,250,10
614300,254,10
614400,254,10
614500,258,10
614600,262,10
614700,262,10
614800,262,10
614900,265,12
615000,268,12
615100,268,12
615200,272,12
615300,276,12
615400,276,12
615500,276,12
615600,284,12
615700,284,12
615800,284,12
615900,288,12
616000,292,12
616100,292,12
616200,296,12
616300,300,12
616400,300,12
616500,300,12
616600,308,12
616700,308,12
616800,308,12
616900,316,12
617000,316,12
617100,316,12
617200,320,12
617300,324,12
617400,324,12
617500,324,12
617600,330,14
617700,330,14
617800,330,14
617900,334,14
618000,338,14
618100,338,14
618200,342,14
618300,346,14
618400,346,14
618500,346,14
618600,354,14
618700,354,14
618800,354,14
618900,358,14
619000,362,14
619100,362,14
619200,366,14
619300,370,14
619400,370,14
619500,372,14
619600,378,14
619700,378,14
619800,378,14
619900,386,14
620000,386,14
620100,386,14
620200,388,15
620300,392,16
620400,392,16
620500,392,16
620600,400,16
620700,400,16
620800,400,16
620900,404,16
621000,408,16
621100,408,16
621200,412,16
621300,416,16
621400,416,16
621500,416,16
621600,424,16
621700,424,16
621800,424,16
621900,428,16
622000,432,16
622100,432,16
622200,436,16
